model	task	layer	metric	score	relative_to_task_best	n_samples	result_path
llava-v1.6-vicuna-7b	gqa	0	exact_match,none	0.458	0.7178683385579937	500	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/best_layer_sweep/outputs/topk_160/llava-v1.6-vicuna-7b/gqa/scoring_layer_0/liuhaotian__llava-v1.6-vicuna-7b/20260719_110257_results.json
llava-v1.6-vicuna-7b	gqa	1	exact_match,none	0.538	0.8432601880877744	500	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/best_layer_sweep/outputs/topk_160/llava-v1.6-vicuna-7b/gqa/scoring_layer_1/liuhaotian__llava-v1.6-vicuna-7b/20260719_110254_results.json
llava-v1.6-vicuna-7b	gqa	2	exact_match,none	0.584	0.915360501567398	500	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/best_layer_sweep/outputs/topk_160/llava-v1.6-vicuna-7b/gqa/scoring_layer_2/liuhaotian__llava-v1.6-vicuna-7b/20260719_110257_results.json
llava-v1.6-vicuna-7b	gqa	3	exact_match,none	0.57	0.8934169278996864	500	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/best_layer_sweep/outputs/topk_160/llava-v1.6-vicuna-7b/gqa/scoring_layer_3/liuhaotian__llava-v1.6-vicuna-7b/20260719_110251_results.json
llava-v1.6-vicuna-7b	gqa	4	exact_match,none	0.548	0.8589341692789969	500	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/best_layer_sweep/outputs/topk_160/llava-v1.6-vicuna-7b/gqa/scoring_layer_4/liuhaotian__llava-v1.6-vicuna-7b/20260719_110623_results.json
llava-v1.6-vicuna-7b	gqa	5	exact_match,none	0.554	0.8683385579937305	500	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/best_layer_sweep/outputs/topk_160/llava-v1.6-vicuna-7b/gqa/scoring_layer_5/liuhaotian__llava-v1.6-vicuna-7b/20260719_110622_results.json
llava-v1.6-vicuna-7b	gqa	6	exact_match,none	0.584	0.915360501567398	500	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/best_layer_sweep/outputs/topk_160/llava-v1.6-vicuna-7b/gqa/scoring_layer_6/liuhaotian__llava-v1.6-vicuna-7b/20260719_110623_results.json
llava-v1.6-vicuna-7b	gqa	7	exact_match,none	0.568	0.8902821316614419	500	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/best_layer_sweep/outputs/topk_160/llava-v1.6-vicuna-7b/gqa/scoring_layer_7/liuhaotian__llava-v1.6-vicuna-7b/20260719_110620_results.json
llava-v1.6-vicuna-7b	gqa	8	exact_match,none	0.586	0.9184952978056425	500	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/best_layer_sweep/outputs/topk_160/llava-v1.6-vicuna-7b/gqa/scoring_layer_8/liuhaotian__llava-v1.6-vicuna-7b/20260719_111053_results.json
llava-v1.6-vicuna-7b	gqa	9	exact_match,none	0.596	0.9341692789968652	500	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/best_layer_sweep/outputs/topk_160/llava-v1.6-vicuna-7b/gqa/scoring_layer_9/liuhaotian__llava-v1.6-vicuna-7b/20260719_111051_results.json
llava-v1.6-vicuna-7b	gqa	10	exact_match,none	0.598	0.9373040752351096	500	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/best_layer_sweep/outputs/topk_160/llava-v1.6-vicuna-7b/gqa/scoring_layer_10/liuhaotian__llava-v1.6-vicuna-7b/20260719_111053_results.json
